,baseball,economics,politics,Europe,Asia,soccer,war,security,shopping,family,,num-attr,,User 1,User 2,,Pred1,Pred2
doc1,1,0,1,0,1,1,0,0,0,1,,5,,1,-1,,,
doc2,0,1,1,1,0,0,0,1,0,0,,4,,-1,1,,,
doc3,0,0,0,1,1,1,0,0,0,0,,3,,,,,,
doc4,0,0,1,1,0,0,1,1,0,0,,4,,,1,,,
doc5,0,1,0,0,0,0,0,0,1,1,,3,,,,,,
doc6,1,0,0,1,0,0,0,0,0,0,,2,,1,,,,
doc7,0,0,0,0,0,0,0,1,0,1,,2,,,,,,
doc8,0,0,1,1,0,0,1,0,0,1,,4,,,,,,
doc9,0,0,0,0,0,1,0,0,1,0,,2,,,,,,
doc10,0,1,0,0,1,0,1,0,0,0,,3,,,,,,
doc11,0,0,1,0,1,0,0,0,1,0,,3,,,,,,
doc12,1,0,0,0,0,1,1,0,0,0,,3,,,-1,,,
doc13,0,0,1,1,1,0,0,1,0,0,,4,,,,,,
doc14,0,1,1,1,0,0,0,0,1,0,,4,,,,,,
doc15,0,0,0,1,0,1,1,1,0,0,,4,,,,,,
doc16,1,0,0,0,0,1,0,0,1,0,,3,,1,,,,
doc17,0,1,1,1,0,0,0,1,0,0,,4,,,1,,,
doc18,0,0,0,1,0,0,0,0,1,0,,2,,,,,,
doc19,0,1,1,0,1,0,1,0,0,1,,5,,-1,,,,
doc20,0,0,1,1,0,0,1,0,1,0,,4,,,,,,
,,,,,,,,,,,,,,,,,,
DF,4,6,10,11,6,6,7,6,7,5,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
User Profiles,,,,,,,,,,,,,,,,,,
User1,,,,,,,,,,,,,,,,,,
User2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
