,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,
,Weight,203.6150217,121.0212568,102.7978818,96.83082284,85.13373768,82.76380819,79.83500014,77.66641961,74.60701813,73.10941039,69.09655995,68.13658784,66.48030495,64.51308808,63.56943648,,
Movie ID,Title,,,,,,,,,,,,,,,,,
11,Star Wars: Episode IV - A New Hope (1977),-0.106651332,-0.094401476,0.199949047,0.025195715,-0.064437077,0.276259474,-0.206927935,0.054092567,-0.025950262,-0.08896429,-0.117163641,0.104473918,0.049531967,0.140639374,-0.031205881,,
12,Finding Nemo (2003),-0.023980383,-0.026960039,-0.038067377,0.248295892,-0.118894457,-0.068092074,0.064116897,0.037390424,-0.082457268,0.037840804,-0.067603348,-0.017251874,-0.069223226,0.063107042,0.159912927,,
13,Forrest Gump (1994),-0.157041788,-0.039888801,-0.224400161,0.062452413,0.098026395,0.078254708,-0.047103966,0.147742841,-0.100540073,-0.018726807,0.076231253,0.016129192,-0.040507003,-0.275025301,-0.052563589,,
14,American Beauty (1999),-0.044468065,0.198715196,-0.006576751,0.008759606,0.056092921,-0.020370352,-0.046149991,0.007244092,0.008791458,-0.067561938,0.063375343,-0.177546656,-0.100530777,0.068352857,-0.085436785,,
22,Pirates of the Caribbean: The Curse of the Black Pearl (2003),0.0362558,-0.132421336,0.036410246,0.007510241,-0.01065725,-0.065372304,0.092768164,0.003815526,-0.081899995,0.083958209,0.167739839,-0.095340372,0.17528462,0.10654209,-0.2875396,,
24,Kill Bill: Vol. 1 (2003),-0.045203057,0.18156951,0.205704701,-0.171393675,-0.005188634,-0.115007286,0.180589447,0.525396512,0.031986932,0.047833687,-0.138115065,0.032691708,0.088862345,-0.048018074,0.130020088,,
38,Eternal Sunshine of the Spotless Mind (2004),-0.048743457,0.161058447,0.014167802,0.024869052,0.047061004,-0.04045025,-0.020911031,-0.109094619,0.027812121,-0.055462992,0.059242123,-0.126222374,-0.022279536,0.059654095,0.029782608,,
63,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),-0.043142991,0.126401836,0.074891612,-0.041528848,-0.010770296,-0.008083498,-0.029304085,-0.104812878,0.008549782,-0.00480292,0.094148623,-0.065322013,0.035578663,-0.028568499,0.054183266,,
77,Memento (2000),-0.101176838,0.133322033,-0.012022406,-0.024179915,-0.032623475,-0.071458803,-6.46E-05,-0.127380423,-0.023346277,-0.077505592,0.029817857,-0.052091787,-0.003957444,0.063916985,0.063371678,,
85,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),-0.087020233,0.001920759,0.048245779,0.043147575,-0.13680294,0.130877625,-0.067871383,0.034690382,0.166582424,0.047095045,0.052792114,0.095093431,-0.107238598,-0.049798782,-0.0247943,,
98,Gladiator (2000),-0.095649044,-0.118547442,-0.191501806,-0.067173727,0.013967689,0.000774739,0.041532741,0.009761477,-0.015494999,0.064096714,-0.099515446,0.017139267,0.090265358,-0.042094098,-0.022019844,,
105,Back to the Future (1985),-0.07762541,-0.00359111,0.010830432,0.017189442,-0.176168074,0.183951806,-0.060935189,0.047726031,0.137122895,0.046375644,0.149227777,0.002038227,-0.071400398,-0.094299234,0.014802935,,
107,Snatch (2000),-0.050142327,0.138729541,0.040761967,-0.036312501,0.017148841,0.019384545,0.011670804,-0.070220208,-0.043909295,0.049726505,0.042280326,0.028465921,0.096971395,-0.006541091,-0.055369386,,
114,Pretty Woman (1990),0.116240609,0.029613213,-0.141655283,0.073871159,0.10874663,-0.012435003,-0.114488148,0.145690279,0.102789329,0.044300374,0.007442368,-0.063082055,0.063859711,0.082486869,-0.02037009,,
120,The Lord of the Rings: The Fellowship of the Ring (2001),-0.157497804,-0.228167331,0.227915771,0.038214381,0.290180053,-0.038962807,0.12690174,-0.085298703,0.167285137,0.157714657,-0.026912692,-0.0600222,-0.10536165,-0.020912224,-0.034651773,,
121,The Lord of the Rings: The Two Towers (2002),-0.141332641,-0.228428416,0.226529247,0.03585278,0.298140143,-0.041195749,0.121425134,-0.080461182,0.137021532,0.157700833,-0.039055026,-0.075555872,-0.072985599,-0.041187799,-0.036739818,,
122,The Lord of the Rings: The Return of the King (2003),-0.159159748,-0.229643481,0.211320711,0.034750465,0.291393109,-0.039638503,0.127625914,-0.105860257,0.157102957,0.155751945,-0.054643582,-0.075175239,-0.078339495,-0.021425898,-0.039500262,,
134,O Brother Where Art Thou? (2000),-0.004053794,0.126744551,0.062323609,0.029321784,0.023608664,-0.011537496,-0.06489941,-0.047138978,0.020873748,-0.010265746,-0.026541858,0.039241794,-0.042430712,0.01058397,0.033838431,,
